,genre_category,genre_category_id,genre_id,genre_name
0,Basic Genres,1,2,Adventure
1,Perspective,2,7,1st-person
2,Narrative Theme/Topic,8,55,Detective / Mystery
3,Setting,10,8,Sci-Fi / Futuristic
4,Art Style,13,217,Live action
5,Other Attributes,6,82,Licensed
6,Basic Genres,1,3,Simulation
7,Basic Genres,1,1,Action
9,Gameplay,4,159,Vehicular Combat Simulator
11,Vehicular Themes,11,151,Space Flight
12,Basic Genres,1,4,Strategy/Tactics
13,Perspective,2,129,Bird's-eye view
14,Gameplay,4,142,4X
15,Gameplay,4,40,Managerial / Business Simulation
16,Interface/Control,7,173,Multiple Units/Characters Control
17,Interface/Control,7,167,Point and Select
18,Pacing,9,106,Turn-based
19,Visual Presentation,12,134,Free-roaming camera
20,Visual Presentation,12,25,Isometric
21,Basic Genres,1,6,Racing / Driving
22,Perspective,2,128,Behind view
23,Gameplay,4,9,Arcade
24,Vehicular Themes,11,191,Street Racing
25,Vehicular Themes,11,188,Automobile
27,Perspective,2,17,Side view
28,Gameplay,4,21,Platform
29,Visual Presentation,12,131,2D scrolling
34,Basic Genres,1,5,Sports
36,Sports Themes,3,52,Skateboarding
37,Sports Themes,3,38,Olympiad / Mixed Sports
39,Gameplay,4,22,Shooter
43,Vehicular Themes,11,72,Mecha / Giant Robot
44,Art Style,13,57,Anime / Manga
47,Perspective,2,13,Top-down
49,Pacing,9,15,Real-Time
55,Gameplay,4,30,Puzzle elements
57,Setting,10,206,Middle East
62,Visual Presentation,12,133,Fixed / Flip-screen
67,Setting,10,66,Cyberpunk / Dark Sci-Fi
75,Basic Genres,1,50,Role-Playing (RPG)
79,Setting,10,78,Fantasy
86,Interface/Control,7,168,Direct Control
87,Narrative Theme/Topic,8,124,War
102,Sports Themes,3,34,Hockey
118,Perspective,2,126,3rd-person (Other)
123,Gameplay,4,48,Fighting
129,Gameplay,4,158,Vehicle Simulator
130,Vehicular Themes,11,192,Track Racing
131,Vehicular Themes,11,20,Motorcycle
170,Setting,10,210,Sea Pirates/Caribbean
171,Vehicular Themes,11,41,Naval / Watercraft
174,Gameplay,4,140,Mini-Games
185,Setting,10,205,Medieval
186,Setting,10,202,Europe
187,Setting,10,14,Historical Events
190,Gameplay,4,146,Graphic Adventure
206,Other Attributes,6,223,Regional Differences
209,Gameplay,4,117,Beat 'em up / Brawler
247,Setting,10,203,Classical antiquity
249,Setting,10,201,Egypt (Ancient)
250,Setting,10,196,Africa
263,Setting,10,200,Contemporary
264,Vehicular Themes,11,19,Flight / Aviation
270,Vehicular Themes,11,108,Train
275,Gameplay,4,166,Action RPG
280,Basic Genres,1,118,Puzzle
