,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
2,14.0,,,1.0,1.0,1.0,,6.0,,,13.0,6.0,21.0,2.0,2.0,,2.0,1.0,5.0,8.0,12.0,20.0,1.0,2.0,,,,,
7,81.0,5.0,12.0,7.0,,13.0,5.0,15.0,16.0,2.0,25.0,6.0,29.0,52.0,25.0,5.0,36.0,35.0,5.0,99.0,151.0,28.0,49.0,,,,,,
55,12.0,,,1.0,,3.0,,1.0,,,7.0,,4.0,3.0,2.0,,,2.0,1.0,7.0,13.0,14.0,3.0,,,,,,
8,61.0,10.0,29.0,7.0,3.0,38.0,4.0,6.0,15.0,2.0,19.0,11.0,16.0,67.0,21.0,11.0,22.0,14.0,4.0,42.0,90.0,27.0,30.0,,,,,,
217,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
82,108.0,16.0,72.0,2.0,15.0,80.0,1.0,6.0,21.0,21.0,42.0,4.0,11.0,60.0,36.0,36.0,30.0,54.0,1.0,128.0,231.0,71.0,108.0,4.0,,,,,
1,191.0,28.0,124.0,53.0,20.0,145.0,7.0,21.0,42.0,26.0,95.0,65.0,53.0,242.0,67.0,78.0,65.0,113.0,15.0,200.0,407.0,124.0,158.0,3.0,,,,,
22,60.0,6.0,25.0,6.0,3.0,30.0,4.0,5.0,13.0,2.0,14.0,12.0,16.0,87.0,32.0,12.0,16.0,28.0,4.0,69.0,114.0,25.0,33.0,,,,,,
168,36.0,3.0,13.0,12.0,1.0,13.0,,1.0,20.0,4.0,11.0,9.0,31.0,55.0,28.0,8.0,10.0,29.0,6.0,57.0,83.0,13.0,44.0,3.0,,,,,
6,53.0,9.0,10.0,4.0,1.0,21.0,1.0,6.0,19.0,1.0,11.0,6.0,3.0,24.0,11.0,6.0,35.0,32.0,,65.0,122.0,18.0,32.0,,,,,,
3,27.0,1.0,8.0,3.0,,3.0,1.0,2.0,2.0,1.0,14.0,2.0,12.0,14.0,7.0,2.0,11.0,7.0,3.0,20.0,54.0,29.0,12.0,1.0,,,,,
128,85.0,5.0,15.0,6.0,,22.0,2.0,8.0,37.0,4.0,30.0,11.0,21.0,89.0,40.0,8.0,37.0,52.0,3.0,128.0,194.0,13.0,76.0,2.0,,,,,
158,27.0,3.0,3.0,,,9.0,,2.0,11.0,1.0,5.0,2.0,1.0,6.0,4.0,3.0,11.0,12.0,1.0,23.0,45.0,6.0,10.0,,,,,,
