,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
6,63.0,11.0,9.0,5.0,1.0,16.0,1.0,7.0,34.0,4.0,29.0,5.0,14.0,63.0,61.0,5.0,25.0,21.0,1.0,52.0,158.0,15.0,31.0,3.0,,,,,
5,74.0,9.0,26.0,7.0,5.0,13.0,,1.0,27.0,13.0,60.0,10.0,10.0,53.0,52.0,8.0,11.0,21.0,2.0,71.0,168.0,15.0,45.0,4.0,,,,,
128,92.0,9.0,14.0,6.0,1.0,13.0,2.0,9.0,59.0,4.0,68.0,11.0,49.0,188.0,176.0,9.0,31.0,38.0,2.0,130.0,287.0,10.0,80.0,14.0,,,,,
158,28.0,3.0,2.0,,,4.0,,3.0,15.0,1.0,8.0,1.0,7.0,23.0,27.0,3.0,9.0,7.0,2.0,16.0,59.0,4.0,10.0,,,,,,
192,27.0,5.0,1.0,1.0,,3.0,,5.0,14.0,1.0,7.0,1.0,6.0,16.0,20.0,4.0,9.0,5.0,1.0,14.0,46.0,2.0,9.0,1.0,,,,,
20,8.0,,2.0,,,1.0,1.0,,2.0,,1.0,,1.0,11.0,8.0,,,1.0,,4.0,14.0,,3.0,,,,,,
1,228.0,55.0,125.0,56.0,31.0,104.0,6.0,25.0,72.0,66.0,222.0,77.0,104.0,342.0,276.0,76.0,50.0,61.0,19.0,187.0,465.0,78.0,144.0,22.0,,,,,
17,60.0,45.0,102.0,25.0,28.0,62.0,,10.0,12.0,62.0,106.0,41.0,30.0,85.0,29.0,67.0,8.0,14.0,14.0,10.0,45.0,39.0,11.0,3.0,,,,,
30,51.0,4.0,17.0,14.0,3.0,18.0,,6.0,18.0,7.0,49.0,19.0,17.0,43.0,54.0,5.0,9.0,15.0,7.0,31.0,83.0,49.0,27.0,3.0,,,,,
21,43.0,32.0,69.0,18.0,19.0,44.0,,6.0,20.0,43.0,92.0,35.0,20.0,77.0,47.0,47.0,6.0,8.0,7.0,25.0,70.0,33.0,23.0,3.0,,,,,
168,49.0,8.0,13.0,13.0,5.0,12.0,,1.0,33.0,6.0,40.0,11.0,53.0,102.0,95.0,8.0,8.0,16.0,9.0,77.0,132.0,5.0,44.0,9.0,,,,,
78,49.0,10.0,23.0,26.0,3.0,26.0,1.0,4.0,21.0,11.0,51.0,20.0,39.0,61.0,69.0,5.0,7.0,20.0,5.0,36.0,96.0,41.0,33.0,6.0,,,,,
131,49.0,43.0,114.0,17.0,26.0,43.0,,6.0,16.0,53.0,90.0,25.0,33.0,47.0,39.0,62.0,5.0,9.0,11.0,23.0,58.0,20.0,20.0,3.0,,,,,
129,54.0,15.0,23.0,15.0,5.0,23.0,1.0,5.0,23.0,10.0,30.0,19.0,11.0,42.0,36.0,6.0,8.0,13.0,5.0,41.0,85.0,32.0,39.0,3.0,,,,,
49,23.0,5.0,8.0,1.0,,2.0,,,9.0,5.0,11.0,3.0,4.0,15.0,17.0,1.0,,10.0,,16.0,36.0,1.0,11.0,1.0,,,,,
173,18.0,,2.0,,,1.0,,,3.0,4.0,,,2.0,12.0,8.0,,3.0,,1.0,8.0,16.0,4.0,5.0,,,,,,
202,8.0,,1.0,,,1.0,,,2.0,,4.0,3.0,6.0,12.0,9.0,1.0,,1.0,1.0,6.0,12.0,5.0,3.0,2.0,,,,,
82,116.0,24.0,69.0,10.0,16.0,65.0,,8.0,40.0,46.0,95.0,9.0,27.0,128.0,139.0,37.0,23.0,46.0,2.0,145.0,346.0,49.0,111.0,8.0,,,,,
4,33.0,6.0,4.0,7.0,,8.0,2.0,2.0,5.0,5.0,15.0,7.0,6.0,25.0,37.0,1.0,3.0,10.0,4.0,8.0,28.0,35.0,12.0,1.0,,,,,
143,4.0,,,,,,,,,,,,1.0,1.0,,,,,,3.0,3.0,,1.0,,,,,,
