,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
2,41.0,,1.0,3.0,,,1.0,8.0,,,21.0,9.0,44.0,8.0,26.0,1.0,3.0,6.0,14.0,9.0,24.0,27.0,3.0,4.0,,,,,
7,256.0,7.0,22.0,25.0,1.0,9.0,6.0,29.0,38.0,3.0,83.0,12.0,80.0,131.0,157.0,5.0,27.0,65.0,39.0,164.0,329.0,52.0,57.0,9.0,,,,,
55,20.0,,,2.0,,,1.0,1.0,,,11.0,2.0,11.0,11.0,12.0,,1.0,1.0,3.0,13.0,21.0,28.0,4.0,1.0,,,,,
8,198.0,26.0,41.0,27.0,12.0,46.0,5.0,18.0,30.0,14.0,69.0,16.0,39.0,106.0,102.0,16.0,16.0,47.0,40.0,74.0,170.0,24.0,30.0,4.0,,,,,
217,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
82,302.0,40.0,107.0,14.0,16.0,93.0,1.0,16.0,35.0,32.0,117.0,13.0,28.0,135.0,143.0,48.0,29.0,74.0,25.0,210.0,494.0,51.0,117.0,10.0,,,,,
3,92.0,5.0,11.0,9.0,1.0,12.0,1.0,6.0,7.0,1.0,37.0,3.0,31.0,44.0,45.0,2.0,13.0,26.0,18.0,38.0,120.0,34.0,10.0,11.0,,,,,
1,574.0,90.0,171.0,146.0,45.0,181.0,9.0,40.0,76.0,91.0,375.0,96.0,156.0,389.0,390.0,92.0,57.0,183.0,151.0,300.0,826.0,101.0,169.0,16.0,,,1.0,,
128,251.0,11.0,28.0,13.0,1.0,28.0,3.0,14.0,58.0,3.0,101.0,19.0,55.0,181.0,170.0,12.0,35.0,74.0,42.0,203.0,443.0,13.0,82.0,17.0,,,,,
159,22.0,1.0,5.0,,,1.0,,2.0,1.0,,,,1.0,4.0,5.0,1.0,2.0,4.0,4.0,4.0,15.0,,,,,,,,
168,109.0,13.0,20.0,26.0,7.0,22.0,,4.0,31.0,16.0,65.0,15.0,67.0,114.0,119.0,12.0,9.0,39.0,37.0,96.0,167.0,16.0,44.0,10.0,,,,,
124,20.0,1.0,4.0,1.0,,,,,,1.0,9.0,,2.0,25.0,14.0,,,4.0,1.0,19.0,22.0,2.0,6.0,,,,,,
72,19.0,1.0,3.0,1.0,,2.0,,3.0,,,1.0,2.0,2.0,3.0,3.0,,1.0,2.0,1.0,7.0,17.0,2.0,2.0,,,,,,
22,187.0,18.0,40.0,29.0,9.0,37.0,5.0,11.0,29.0,16.0,73.0,16.0,46.0,164.0,139.0,16.0,11.0,56.0,35.0,120.0,231.0,18.0,51.0,3.0,,,,,
6,173.0,11.0,22.0,9.0,,26.0,1.0,11.0,29.0,3.0,48.0,7.0,22.0,58.0,80.0,10.0,26.0,48.0,26.0,90.0,234.0,20.0,31.0,8.0,,,,,
126,327.0,6.0,1.0,34.0,,25.0,1.0,13.0,20.0,5.0,146.0,33.0,56.0,154.0,195.0,,37.0,100.0,65.0,160.0,570.0,67.0,101.0,9.0,,,,,
5,227.0,23.0,56.0,11.0,4.0,37.0,,12.0,25.0,16.0,73.0,9.0,16.0,78.0,74.0,17.0,19.0,53.0,19.0,111.0,263.0,23.0,51.0,7.0,,,1.0,,
158,79.0,2.0,5.0,3.0,,8.0,,3.0,13.0,1.0,13.0,2.0,8.0,16.0,27.0,3.0,9.0,12.0,6.0,32.0,77.0,5.0,8.0,6.0,,,,,
192,70.0,3.0,6.0,3.0,,10.0,,6.0,14.0,1.0,14.0,3.0,17.0,16.0,34.0,6.0,10.0,15.0,9.0,29.0,69.0,4.0,8.0,8.0,,,,,
20,17.0,1.0,3.0,,,1.0,1.0,,3.0,,5.0,,8.0,13.0,14.0,1.0,1.0,3.0,,12.0,21.0,,4.0,5.0,,,,,
146,7.0,,,,,,,2.0,,,8.0,3.0,15.0,1.0,10.0,,,,4.0,3.0,2.0,4.0,,,,,,,
30,116.0,8.0,20.0,24.0,4.0,34.0,1.0,7.0,16.0,8.0,77.0,27.0,51.0,47.0,79.0,8.0,9.0,28.0,38.0,49.0,137.0,53.0,32.0,6.0,,,,,
167,29.0,3.0,4.0,15.0,1.0,3.0,,3.0,,5.0,14.0,6.0,19.0,12.0,16.0,1.0,,9.0,9.0,4.0,6.0,31.0,1.0,1.0,,,,,
78,93.0,19.0,25.0,55.0,12.0,49.0,2.0,6.0,20.0,16.0,95.0,32.0,66.0,70.0,95.0,8.0,8.0,56.0,47.0,57.0,197.0,50.0,42.0,9.0,,,,,
