,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
2,39.0,5.0,8.0,39.0,14.0,9.0,15.0,7.0,1.0,,63.0,38.0,270.0,30.0,87.0,,4.0,15.0,78.0,13.0,24.0,56.0,5.0,24.0,,,,,
7,260.0,62.0,48.0,169.0,76.0,42.0,62.0,62.0,71.0,29.0,251.0,136.0,574.0,296.0,428.0,17.0,69.0,154.0,116.0,252.0,376.0,153.0,99.0,72.0,3.0,3.0,,,
55,15.0,4.0,5.0,20.0,7.0,5.0,6.0,2.0,1.0,,20.0,3.0,51.0,21.0,34.0,,3.0,6.0,12.0,18.0,24.0,47.0,8.0,5.0,,,,,
8,219.0,129.0,121.0,88.0,121.0,106.0,40.0,47.0,51.0,72.0,180.0,152.0,391.0,231.0,370.0,27.0,41.0,140.0,135.0,116.0,226.0,102.0,61.0,61.0,9.0,2.0,,,
217,1.0,,,1.0,,,5.0,,,,3.0,1.0,3.0,1.0,3.0,,,,,,,,,1.0,,,,,
82,481.0,293.0,297.0,127.0,224.0,332.0,20.0,58.0,128.0,199.0,450.0,82.0,281.0,467.0,562.0,113.0,81.0,225.0,79.0,395.0,765.0,391.0,295.0,82.0,2.0,1.0,,,
4,85.0,32.0,38.0,74.0,41.0,52.0,14.0,17.0,12.0,16.0,85.0,56.0,193.0,63.0,163.0,10.0,9.0,111.0,97.0,43.0,110.0,106.0,22.0,22.0,,,,,
129,167.0,103.0,137.0,138.0,97.0,96.0,10.0,29.0,52.0,43.0,130.0,105.0,356.0,121.0,239.0,22.0,26.0,130.0,145.0,100.0,186.0,121.0,75.0,47.0,6.0,3.0,,,
142,1.0,1.0,,,,,,,,,,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,
40,25.0,13.0,9.0,34.0,4.0,11.0,2.0,2.0,4.0,2.0,22.0,10.0,68.0,36.0,52.0,,4.0,27.0,15.0,26.0,53.0,41.0,16.0,12.0,,,,,
173,26.0,8.0,9.0,6.0,1.0,2.0,2.0,7.0,8.0,3.0,5.0,,14.0,22.0,29.0,1.0,6.0,15.0,9.0,15.0,23.0,7.0,9.0,3.0,,,,,
167,29.0,5.0,6.0,67.0,7.0,9.0,9.0,4.0,2.0,10.0,44.0,23.0,122.0,28.0,68.0,4.0,2.0,31.0,46.0,7.0,11.0,74.0,3.0,10.0,,,,,
106,62.0,32.0,23.0,92.0,30.0,46.0,8.0,8.0,8.0,18.0,52.0,41.0,123.0,34.0,138.0,4.0,10.0,102.0,94.0,12.0,92.0,90.0,18.0,11.0,,,,,
