,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
1,1.0,2.0,4.0,4.0,9.0,4.0,,,,1.0,4.0,9.0,92.0,865.0,24.0,1.0,24.0,6.0,22.0,2.0,,1.0,1.0,926.0,3.0,1.0,,,
60,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,
118,1.0,,1.0,,,2.0,,,,,5.0,1.0,12.0,110.0,6.0,,5.0,5.0,4.0,3.0,,,1.0,108.0,,,,,
13,1.0,,8.0,1.0,3.0,,,,,1.0,4.0,1.0,6.0,289.0,9.0,1.0,11.0,3.0,3.0,2.0,,2.0,1.0,127.0,,,,,
133,1.0,,,1.0,2.0,1.0,,,,1.0,4.0,3.0,11.0,179.0,4.0,1.0,7.0,4.0,5.0,2.0,,,1.0,105.0,,,,,
17,,2.0,2.0,3.0,6.0,4.0,,,,1.0,3.0,8.0,52.0,373.0,11.0,,21.0,7.0,18.0,,,1.0,1.0,443.0,2.0,1.0,,,
22,,1.0,1.0,1.0,3.0,,,,,1.0,,1.0,29.0,345.0,7.0,1.0,15.0,2.0,5.0,,1.0,,,299.0,3.0,1.0,,,
21,,2.0,2.0,2.0,3.0,3.0,,,,1.0,1.0,6.0,41.0,168.0,5.0,,10.0,2.0,11.0,,,,1.0,286.0,1.0,,,,
78,,2.0,7.0,1.0,2.0,,,,,,,4.0,57.0,128.0,11.0,,6.0,1.0,12.0,,,,,374.0,,,,,
131,,2.0,2.0,2.0,4.0,2.0,,,,1.0,2.0,5.0,59.0,220.0,10.0,,8.0,3.0,16.0,,,1.0,1.0,489.0,2.0,,,,
50,,,6.0,,,,,,,,1.0,2.0,18.0,47.0,7.0,,1.0,1.0,3.0,,,1.0,,113.0,,,,,
106,,,6.0,,,,,,,,1.0,2.0,10.0,70.0,7.0,,2.0,3.0,4.0,,,1.0,,80.0,,,,,
8,,,1.0,2.0,2.0,,,,,,1.0,3.0,28.0,226.0,8.0,,14.0,,8.0,2.0,,,,209.0,2.0,1.0,,,
25,,,1.0,,,,,,,,,,1.0,19.0,1.0,,,1.0,,,,,,19.0,,,,,
57,,,4.0,,,,,,,,,2.0,5.0,45.0,,,2.0,2.0,4.0,,,,,82.0,,,,,
15,,,1.0,,,,,,,,1.0,1.0,14.0,74.0,5.0,,,2.0,3.0,1.0,,,,96.0,,,,,
30,,,2.0,1.0,1.0,3.0,,,,,,3.0,30.0,103.0,5.0,,7.0,,7.0,,,,,228.0,,,,,
