,United States,United Kingdom,France,Germany,Japan,Worldwide,intersect_pecent United States - United Kingdom,intersect_pecent United States - France,intersect_pecent United States - Germany,intersect_pecent United States - Japan,intersect_pecent United States - Worldwide,intersect_pecent United Kingdom - France,intersect_pecent United Kingdom - Germany,intersect_pecent United Kingdom - Japan,intersect_pecent United Kingdom - Worldwide,intersect_pecent France - Germany,intersect_pecent France - Japan,intersect_pecent France - Worldwide,intersect_pecent Germany - Japan,intersect_pecent Germany - Worldwide,intersect_pecent Japan - Worldwide,union United States - United Kingdom,intersect United States - United Kingdom,union United States - France,intersect United States - France,union United States - Germany,intersect United States - Germany,union United States - Japan,intersect United States - Japan,union United States - Worldwide,intersect United States - Worldwide,union United Kingdom - France,intersect United Kingdom - France,union United Kingdom - Germany,intersect United Kingdom - Germany,union United Kingdom - Japan,intersect United Kingdom - Japan,union United Kingdom - Worldwide,intersect United Kingdom - Worldwide,union France - Germany,intersect France - Germany,union France - Japan,intersect France - Japan,union France - Worldwide,intersect France - Worldwide,union Germany - Japan,intersect Germany - Japan,union Germany - Worldwide,intersect Germany - Worldwide,union Japan - Worldwide,intersect Japan - Worldwide
PlayStation,1226.0,954.0,326.0,384.0,1420.0,2.0,0.43799472295514513,0.16516516516516516,0.20149253731343283,0.27887868535524407,0.0,0.2761714855433699,0.3221343873517787,0.22245108135942326,0.0,0.41434262948207173,0.08514605344934742,0.0,0.12049689440993788,0.0,0.0007037297677691766,1516.0,664.0,1332.0,220.0,1340.0,270.0,2069.0,577.0,1228.0,0.0,1003.0,277.0,1012.0,326.0,1942.0,432.0,956.0,0.0,502.0,208.0,1609.0,137.0,328.0,0.0,1610.0,194.0,386.0,0.0,1421.0,1.0
SNES,712.0,134.0,47.0,78.0,814.0,2.0,0.128,0.0411522633744856,0.07776261937244201,0.37725631768953066,0.0,0.20666666666666667,0.21839080459770116,0.0859106529209622,0.0,0.358695652173913,0.02867383512544803,0.0,0.06064209274673008,0.0,0.0,750.0,96.0,729.0,30.0,733.0,57.0,1108.0,418.0,714.0,0.0,150.0,31.0,174.0,38.0,873.0,75.0,136.0,0.0,92.0,33.0,837.0,24.0,49.0,0.0,841.0,51.0,80.0,0.0,816.0,0.0
Genesis,697.0,265.0,171.0,172.0,453.0,7.0,0.23333333333333334,0.1906721536351166,0.19696969696969696,0.34345794392523366,0.001422475106685633,0.620817843866171,0.6305970149253731,0.16747967479674797,0.0036900369003690036,0.9269662921348315,0.14285714285714285,0.005649717514124294,0.14678899082568808,0.0056179775280898875,0.004366812227074236,780.0,182.0,729.0,139.0,726.0,143.0,856.0,294.0,703.0,1.0,269.0,167.0,268.0,169.0,615.0,103.0,271.0,1.0,178.0,165.0,546.0,78.0,177.0,1.0,545.0,80.0,178.0,1.0,458.0,2.0
Nintendo 3DS,1227.0,253.0,108.0,122.0,553.0,6.0,0.16443745082612116,0.07228915662650602,0.08092948717948718,0.2851985559566787,0.0008116883116883117,0.3992248062015504,0.39925373134328357,0.21936459909228442,0.0,0.796875,0.09800664451827243,0.0,0.10474631751227496,0.0,0.0,1271.0,209.0,1245.0,90.0,1248.0,101.0,1385.0,395.0,1232.0,1.0,258.0,103.0,268.0,107.0,661.0,145.0,259.0,0.0,128.0,102.0,602.0,59.0,114.0,0.0,611.0,64.0,128.0,0.0,559.0,0.0
NES,759.0,51.0,24.0,35.0,858.0,10.0,0.047865459249676584,0.02621231979030144,0.033854166666666664,0.3040322580645161,0.002607561929595828,0.171875,0.19444444444444445,0.02944507361268403,0.0,0.18,0.01730103806228374,0.0,0.02057142857142857,0.0,0.0,773.0,37.0,763.0,20.0,768.0,26.0,1240.0,377.0,767.0,2.0,64.0,11.0,72.0,14.0,883.0,26.0,61.0,0.0,50.0,9.0,867.0,15.0,34.0,0.0,875.0,18.0,45.0,0.0,868.0,0.0
Game Boy Advance,749.0,275.0,218.0,170.0,336.0,6.0,0.2848180677540778,0.22715736040609136,0.15889029003783103,0.24,0.0,0.30423280423280424,0.2824207492795389,0.2318548387096774,0.0035714285714285713,0.28052805280528054,0.16631578947368422,0.0,0.12694877505567928,0.0,0.0,797.0,227.0,788.0,179.0,793.0,126.0,875.0,210.0,755.0,0.0,378.0,115.0,347.0,98.0,496.0,115.0,280.0,1.0,303.0,85.0,475.0,79.0,224.0,0.0,449.0,57.0,176.0,0.0,342.0,0.0
3DO,140.0,11.0,7.0,10.0,61.0,0.0,0.07857142857142857,0.05,0.07142857142857142,0.20359281437125748,0.0,0.6363636363636364,0.3125,0.09090909090909091,0.0,0.4166666666666667,0.07936507936507936,0.0,0.04411764705882353,0.0,0.0,140.0,11.0,140.0,7.0,140.0,10.0,167.0,34.0,140.0,0.0,11.0,7.0,16.0,5.0,66.0,6.0,11.0,0.0,12.0,5.0,63.0,5.0,7.0,0.0,68.0,3.0,10.0,0.0,61.0,0.0
SEGA Saturn,228.0,79.0,38.0,45.0,554.0,0.0,0.18076923076923077,0.10833333333333334,0.128099173553719,0.24126984126984127,0.0,0.4625,0.47619047619047616,0.1085814360770578,0.0,0.8043478260869565,0.05714285714285714,0.0,0.06583629893238434,0.0,0.0,260.0,47.0,240.0,26.0,242.0,31.0,630.0,152.0,228.0,0.0,80.0,37.0,84.0,40.0,571.0,62.0,79.0,0.0,46.0,37.0,560.0,32.0,38.0,0.0,562.0,37.0,45.0,0.0,554.0,0.0
Nintendo 64,296.0,117.0,70.0,120.0,123.0,0.0,0.36303630363036304,0.22,0.38205980066445183,0.25449101796407186,0.0,0.48412698412698413,0.5906040268456376,0.31868131868131866,0.0,0.49606299212598426,0.20625,0.0,0.2925531914893617,0.0,0.0,303.0,110.0,300.0,66.0,301.0,115.0,334.0,85.0,296.0,0.0,126.0,61.0,149.0,88.0,182.0,58.0,117.0,0.0,127.0,63.0,160.0,33.0,70.0,0.0,188.0,55.0,120.0,0.0,123.0,0.0
Game Boy,476.0,127.0,38.0,90.0,333.0,2.0,0.18003913894324852,0.04897959183673469,0.11637080867850098,0.3394039735099338,0.0,0.18705035971223022,0.2122905027932961,0.1330049261083744,0.0,0.24271844660194175,0.033426183844011144,0.0,0.10732984293193717,0.0,0.0,511.0,92.0,490.0,24.0,507.0,59.0,604.0,205.0,478.0,0.0,139.0,26.0,179.0,38.0,406.0,54.0,129.0,0.0,103.0,25.0,359.0,12.0,40.0,0.0,382.0,41.0,92.0,0.0,335.0,0.0
